customer_name,cloud_account_number,product_name,usage_type,price_book,seller_cost_usd,customer_cost_usd,margin_usd,usage_quantity,fecha
Sourcing SPA (Andres Yelpi),872780047379,Amazon Simple Storage Service,Requests-Tier1 (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Elastic Compute Cloud,BoxUsage:t3.medium (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,NatGateway-Hours (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,InstanceUsage:db.m5.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Relational Database Service,InstanceUsage:db.r5.large (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,LCUUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Lambda,Lambda-Storage-GB-Second (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Data Transfer,DataTransfer-Regional-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,LCUUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Elastic Compute Cloud,HeavyUsage:t3.medium,AWS Price Book,18.23,18.792,0.564,720.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Virtual Private Cloud,USW2-PublicIPv4:InUseAddress (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,AWS Security Hub,USE1-PaidComplianceCheck (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Relational Database Service,InstanceUsage:db.r5.xlarge (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Global Accelerator,NA-EU-OUT-Bytes-Internet (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Data Transfer,USE1-EUN1-AWS-Out-Bytes (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,BoxUsage:t3.small (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Relational Database Service,Aurora:BackupUsage (tax),AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Location Service,SAE1-ResourceList,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Glue,SAE1-Catalog-Request,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS CloudTrail,APN1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,82.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS CloudTrail,SAE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,88.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS CloudTrail,USE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,4141.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,AWS CloudTrail,USE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,114.0,2025-04-03
Sourcing SPA (Andres Yelpi),393937990371,AWS CloudTrail,USE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,482.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,AWS CloudTrail,USE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,104.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,AWS CloudTrail,USE1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,3289.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS CloudTrail,APN3-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,78.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS CloudTrail,EUW2-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,36.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS CloudTrail,USW1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,22.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS CloudTrail,USW1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,80.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS CloudTrail,USW2-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,34.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS CloudTrail,EUC1-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,37.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS CloudTrail,EU-FreeEventsRecorded,AWS Price Book,0.0,0.0,0.0,83.0,2025-04-03
